ID,Pre_Q1,Pre_Q2,Pre_Q3,Pre_Q4,Pre_Q5,Pre_Q6,,,ID,Post_Q1,Post_Q2,Post_Q3,Post_Q4,Post_Q5,Post_Q6
S01,1,1,1,1,1,1,,,S'01,4,4,4,4,4,4
S02,1,1,1,1,1,1,,,S'02,5,5,5,3,1,1
S03,3,3,3,3,3,3,,,S'03,4,4,4,4,4,3
S04,1,1,1,1,1,1,,,S'04,5,5,5,5,5,5
S05,1,1,1,1,1,1,,,S'05,5,3,5,5,3,5
S06,5,5,5,5,5,5,,,S'06,5,5,5,5,5,5
S07,4,2,3,4,2,4,,,S'07,4,2,4,4,2,2
S08,2,1,1,1,1,1,,,S'08,4,2,4,4,2,5
S09,5,1,1,3,2,1,,,S'09,5,5,5,5,5,5
S10,5,5,5,5,5,5,,,S'10,5,5,5,5,5,5
S11,1,1,5,1,1,1,,,S'11,5,5,4,4,4,4
S12,5,5,5,5,4,3,,,S'12,5,3,5,4,4,5
S13,2,1,1,1,1,1,,,S'13,5,5,5,5,5,5
S14,3,1,1,1,1,1,,,S'14,5,5,5,5,4,4
S15,3,3,3,1,1,1,,,S'15,5,5,5,5,5,5
S16,3,1,2,1,1,1,,,S'16,5,5,4,5,5,5
S17,1,2,5,4,1,2,,,S'17,5,5,5,5,5,5
S18,1,4,3,3,1,1,,,S'18,5,5,5,5,5,5
S19,1,1,1,1,1,1,,,S'19,4,4,4,4,3,5
S20,2,1,1,1,1,1,,,S'20,5,5,5,5,5,5
S21,3,3,3,3,3,3,,,S'21,5,5,4,4,5,5
S22,4,4,4,2,2,2,,,S'22,5,5,5,5,4,5
S23,1,1,1,1,1,1,,,S'23,5,3,4,4,4,4
S24,5,1,1,1,3,2,,,S'24,5,3,4,5,5,5
S25,5,1,4,5,3,3,,,S'25,3,3,3,3,3,3
S26,3,1,3,1,3,1,,,S'26,5,5,5,5,3,3
S27,4,1,1,1,1,1,,,S'27,4,4,4,4,4,4
S28,4,1,1,1,1,3,,,S'28,3,2,4,4,2,4
S29,1,1,2,1,1,1,,,S'29,5,5,5,5,5,5
S30,4,1,1,2,2,2,,,S'30,4,3,4,4,4,4
S31,3,3,3,3,2,3,,,S'31,5,5,5,5,5,5
S32,1,1,1,1,1,1,,,S'32,5,5,4,5,5,5
S33,3,1,1,3,2,3,,,S'33,4,4,4,4,4,4
S34,4,1,1,1,1,1,,,S'34,5,5,5,4,4,5
S35,2,1,2,1,1,1,,,S'35,5,5,5,5,5,5
S36,4,2,4,2,2,2,,,S'36,4,2,3,4,4,3
S37,3,1,1,1,1,1,,,S'37,5,5,5,5,5,5
S38,5,5,5,5,5,5,,,S'38,5,5,5,5,5,5
S39,3,1,1,1,1,1,,,S'39,5,5,5,5,5,5
S40,1,1,1,1,1,1,,,S'40,5,2,5,5,3,4
S41,1,1,1,1,1,1,,,S'41,5,5,5,5,5,5
S42,2,4,2,3,2,2,,,S'42,5,5,1,5,5,5
S43,5,1,1,1,1,1,,,S'43,5,5,5,5,5,5
S44,4,2,2,2,3,3,,,S'44,5,5,3,5,5,5
S45,1,5,5,1,1,1,,,S'45,5,5,5,5,5,5
S46,3,1,1,1,1,1,,,S'46,3,3,4,3,3,3
S47,3,4,3,3,3,3,,,S'47,5,4,3,5,3,5
S48,4,3,3,3,3,3,,,S'48,5,5,5,5,5,5
S49,2,1,1,2,2,1,,,S'49,5,4,4,5,5,5
S50,4,4,4,4,4,4,,,S'50,5,1,5,5,4,5
S51,5,1,1,5,5,5,,,S'51,3,2,3,2,2,3
S52,4,1,2,3,3,3,,,S'52,3,3,3,3,3,3
S53,4,4,3,4,4,4,,,S'53,5,5,5,5,5,5
S54,5,5,5,5,5,5,,,S'54,5,3,4,4,2,2
S55,3,1,1,1,1,1,,,S'55,5,1,5,5,1,5
S56,1,1,1,1,1,1,,,S'56,5,5,5,5,5,5
S57,4,2,3,3,3,3,,,S'57,5,2,1,2,4,5
S58,3,2,2,2,2,2,,,S'58,5,4,2,4,3,5
